Sample,Pquery,Weight,EDPL
epa_result,c-7528_conseq_Otu00329_4_1588_bp,1,0
epa_result,c-8263_conseq_Otu00353_4_1588_bp,1,0
epa_result,c-8622_conseq_Otu00298_5_1588_bp,1,0.0073543
epa_result,c-9230_conseq_Otu00285_5_1588_bp,1,0.0692203
epa_result,m54032_170210_154134_19137092_ccs_Otu00505_2_1588_bp,1,0.0030571
epa_result,m54032_170210_154134_29360267_ccs_Otu00175_10_1588_bp,1,0
epa_result,m54032_170210_154134_50725473_ccs_Otu00442_3_1588_bp,1,0.000528683
epa_result,m54032_170210_154134_71107544_ccs_Otu00648_2_1588_bp,1,0
epa_result,m54088_170214_101554_21955249_ccs_Otu00199_8_1588_bp,1,0
epa_result,m54088_170214_101554_32768766_ccs_Otu00585_2_1588_bp,1,2.28256e-05
epa_result,m54088_170214_101554_51839075_ccs_Otu00445_3_1588_bp,1,0
epa_result,m54088_170214_101554_69533769_ccs_Otu00403_3_1588_bp,1,0
epa_result,m54088_170216_085445_12058985_ccs_Otu00562_2_1588_bp,1,0
epa_result,m54088_170216_085445_14811749_ccs_Otu00401_3_1588_bp,1,0
epa_result,m54088_170216_085445_20972431_ccs_Otu00143_12_1588_bp,1,1.72671e-05
epa_result,m54088_170216_085445_25428597_ccs_Otu00147_12_1588_bp,1,0
epa_result,m54088_170216_085445_30344074_ccs_Otu00336_4_1588_bp,1,0
epa_result,m54088_170216_085445_34538072_ccs_Otu00493_2_1588_bp,1,0.00579935
epa_result,m54088_170216_085445_53346699_ccs_Otu00484_2_1588_bp,1,0
epa_result,m54088_170216_085445_55640456_ccs_Otu00313_4_1588_bp,1,0.00121503
epa_result,m54088_170216_085445_58983335_ccs_Otu00596_2_1588_bp,1,0.0063537
epa_result,m54088_170216_085445_63046112_ccs_Otu00625_2_1588_bp,1,0.00223515
epa_result,m54088_170216_085445_67503068_ccs_Otu00411_3_1588_bp,1,0.00434436
epa_result,m54088_170216_085445_72024988_ccs_Otu00326_4_1588_bp,1,0
epa_result,c-1812_conseq_Otu00280_5_1588_bp,1,0
epa_result,c-2129_conseq_Otu00467_3_1588_bp,1,0.00158577
epa_result,c-307_conseq_Otu00241_6_1588_bp,1,0.00331633
epa_result,c-4930_conseq_Otu00060_33_1588_bp,1,1.71949e-05
epa_result,c-5853_conseq_Otu00272_6_1588_bp,1,0.00734725
epa_result,c-6351_conseq_Otu00162_11_1588_bp,1,0
epa_result,c-7708_conseq_Otu00198_8_1588_bp,1,0.000783437
epa_result,m54032_170210_154134_14877555_ccs_Otu00563_2_1588_bp,1,0.00140336
epa_result,m54088_170216_085445_13501296_ccs_Otu00572_2_1588_bp,1,0.00147685
epa_result,m54088_170216_085445_18743923_ccs_Otu00566_2_1588_bp,1,0
epa_result,m54088_170216_085445_24380309_ccs_Otu00393_3_1588_bp,1,0
epa_result,m54088_170216_085445_29098128_ccs_Otu00469_2_1588_bp,1,0.000340422
epa_result,m54088_170216_085445_33358660_ccs_Otu00357_4_1588_bp,1,0.000364907
epa_result,m54088_170216_085445_52887729_ccs_Otu00558_2_1588_bp,1,0
epa_result,m54088_170216_085445_64094469_ccs_Otu00623_2_1588_bp,1,0
epa_result,c-281_conseq_Otu00242_6_1588_bp,1,0.00216406
epa_result,c-5167_conseq_Otu00123_15_1588_bp,1,0.000195545
epa_result,c-5661_conseq_Otu00465_3_1588_bp,1,-1.38777e-17
epa_result,c-6656_conseq_Otu00015_231_1588_bp,1,0.0028274
epa_result,c-7548_conseq_Otu00079_24_1588_bp,1,8.13347e-05
epa_result,c-8898_conseq_Otu00087_23_1588_bp,1,0.00401856
epa_result,m54032_170210_154134_24248919_ccs_Otu00565_2_1588_bp,1,0
epa_result,m54032_170210_154134_35259198_ccs_Otu00384_3_1588_bp,1,0
epa_result,m54032_170210_154134_55050984_ccs_Otu00404_3_1588_bp,1,0
epa_result,m54032_170210_154134_67437517_ccs_Otu00251_6_1588_bp,1,0.00172953
epa_result,m54088_170214_101554_21889432_ccs_Otu00304_5_1588_bp,1,0
epa_result,m54088_170214_101554_55181446_ccs_Otu00475_2_1588_bp,1,0.00011164
epa_result,m54088_170216_085445_14877140_ccs_Otu00430_3_1588_bp,1,0
epa_result,m54088_170216_085445_22741555_ccs_Otu00569_2_1588_bp,1,0
epa_result,m54088_170216_085445_26739551_ccs_Otu00227_7_1588_bp,1,0.000306187
epa_result,m54088_170216_085445_34799849_ccs_Otu00581_2_1588_bp,1,0.0018494
epa_result,m54088_170216_085445_54854424_ccs_Otu00615_2_1588_bp,1,0.00178152
epa_result,m54088_170216_085445_60817557_ccs_Otu00610_2_1588_bp,1,0.00907736
epa_result,m54088_170216_085445_67043611_ccs_Otu00413_3_1588_bp,1,0.0401801
epa_result,m54088_170216_085445_70320537_ccs_Otu00568_2_1588_bp,1,0.00355024
epa_result,c-2360_conseq_Otu00089_22_1588_bp,1,0.00424916
epa_result,c-410_conseq_Otu00084_23_1588_bp,1,0.000579308
epa_result,c-551_conseq_Otu00151_12_1588_bp,1,0
epa_result,c-6224_conseq_Otu00029_92_1588_bp,1,0.000128295
epa_result,c-8342_conseq_Otu00337_4_1588_bp,1,0.0221628
epa_result,c-8541_conseq_Otu00127_14_1588_bp,1,0.000737742
epa_result,m54032_170210_154134_48496837_ccs_Otu00375_3_1588_bp,1,0.00920026
epa_result,m54032_170210_154134_61800677_ccs_Otu00424_3_1588_bp,1,0
epa_result,m54088_170214_101554_48300108_ccs_Otu00504_2_1588_bp,1,0.000494326
epa_result,m54088_170214_101554_9634642_ccs_Otu00617_2_1588_bp,1,0
epa_result,m54088_170216_085445_22216834_ccs_Otu00437_3_1588_bp,1,2.20033e-05
epa_result,m54088_170216_085445_25363099_ccs_Otu00144_12_1588_bp,1,0
epa_result,m54088_170216_085445_30146982_ccs_Otu00514_2_1588_bp,1,0.00622912
epa_result,m54088_170216_085445_35586753_ccs_Otu00086_23_1588_bp,1,0
epa_result,m54088_170216_085445_39781056_ccs_Otu00321_4_1588_bp,1,0
epa_result,m54088_170216_085445_45614013_ccs_Otu00478_2_1588_bp,1,8.51484e-06
epa_result,m54088_170216_085445_62653370_ccs_Otu00552_2_1588_bp,1,0
epa_result,m54088_170216_085445_8913735_ccs_Otu00156_11_1588_bp,1,0.000447655
epa_result,c-3676_conseq_Otu00196_9_1588_bp,1,0
epa_result,c-4670_conseq_Otu00008_588_1588_bp,1,1.70358e-05
epa_result,c-6998_conseq_Otu00459_3_1588_bp,1,0.000128151
epa_result,c-982_conseq_Otu00332_4_1588_bp,1,0.0050321
epa_result,m54088_170214_101554_38535673_ccs_Otu00071_28_1588_bp,1,0
epa_result,m54088_170214_101554_62915227_ccs_Otu00320_4_1588_bp,1,0
epa_result,m54088_170216_085445_15008021_ccs_Otu00583_2_1588_bp,1,0.0141624
epa_result,m54088_170216_085445_30146696_ccs_Otu00092_21_1588_bp,1,0.00572034
epa_result,m54088_170216_085445_38273143_ccs_Otu00633_2_1588_bp,1,0
epa_result,m54088_170216_085445_42336553_ccs_Otu00448_3_1588_bp,1,0
epa_result,m54088_170216_085445_56426936_ccs_Otu00073_27_1588_bp,1,0
epa_result,m54088_170216_085445_64618868_ccs_Otu00599_2_1588_bp,1,0.000192939
epa_result,c-5485_conseq_Otu00128_14_1588_bp,1,0
epa_result,c-6067_conseq_Otu00186_9_1588_bp,1,0.00162493
epa_result,c-648_conseq_Otu00346_4_1588_bp,1,0.00511166
epa_result,m54032_170210_154134_13239088_ccs_Otu00193_9_1588_bp,1,0.00556245
epa_result,m54032_170210_154134_24511160_ccs_Otu00531_2_1588_bp,1,0.000966807
epa_result,m54088_170214_101554_15401713_ccs_Otu00318_4_1588_bp,1,0
epa_result,m54088_170214_101554_67044099_ccs_Otu00608_2_1588_bp,1,0.00678548
epa_result,m54088_170216_085445_15008703_ccs_Otu00530_2_1588_bp,1,0.00330455
epa_result,m54088_170216_085445_20382483_ccs_Otu00226_7_1588_bp,1,0.0047229
epa_result,m54088_170216_085445_26215025_ccs_Otu00202_8_1588_bp,1,0
epa_result,m54088_170216_085445_34210541_ccs_Otu00095_21_1588_bp,1,0.000563709
epa_result,m54088_170216_085445_41026276_ccs_Otu00378_3_1588_bp,1,0.000593398
epa_result,m54088_170216_085445_56754766_ccs_Otu00433_3_1588_bp,1,0
epa_result,m54088_170216_085445_61932130_ccs_Otu00211_8_1588_bp,1,0
epa_result,m54088_170216_085445_9437773_ccs_Otu00348_4_1588_bp,1,0
epa_result,c-2785_conseq_Otu00114_16_1588_bp,1,0
epa_result,c-789_conseq_Otu00238_7_1588_bp,1,0
epa_result,c-8846_conseq_Otu00201_8_1588_bp,1,0.00576568
epa_result,m54032_170210_154134_41550060_ccs_Otu00454_3_1588_bp,1,0
epa_result,m54088_170216_085445_12452784_ccs_Otu00536_2_1588_bp,1,0
epa_result,m54088_170216_085445_30343509_ccs_Otu00488_2_1588_bp,1,0
epa_result,m54088_170216_085445_44302653_ccs_Otu00597_2_1588_bp,1,0
epa_result,m54088_170216_085445_58852084_ccs_Otu00486_2_1588_bp,1,0
